Koordinatensystem : Lambert konform konisch
Rechtswert        : 4106500 Meter
Hochwert          : 2388500 Meter
Hoehenlage        : 520 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4106500 2388500  1  1  1  -4.6  972 256  3.7 5  2.7  93    0    0 216 -280  2
4106500 2388500  1  1  2  -5.7  972 251  3.4 4  2.5  95    0    0 212 -276  2
4106500 2388500  1  1  3  -6.7  972 245  3.0 3  2.4  97    0    0 203 -270  2
4106500 2388500  1  1  4  -7.1  972 240  3.0 2  2.4  98    0    0 191 -266  2
4106500 2388500  1  1  5  -7.3  972 238  2.9 3  2.3  99    0    0 187 -262  2
4106500 2388500  1  1  6  -7.4  972 243  3.3 3  2.3 100    0    0 191 -257  2
4106500 2388500  1  1  7  -7.1  972 232  2.9 5  2.3  99    0    0 199 -254  2
4106500 2388500  1  1  8  -6.6  973 242  3.6 6  2.3  96    0    0 205 -252  2
4106500 2388500  1  1  9  -6.5  973 240  3.9 6  2.3  94    5   19 208 -250  2
4106500 2388500  1  1 10  -5.6  975 237  3.7 7  2.3  91   31   73 210 -251  2
4106500 2388500  1  1 11  -4.6  975 245  4.0 6  2.2  84    5  102 212 -255  2
4106500 2388500  1  1 12  -3.4  975 260  3.7 6  2.2  76    4  125 215 -262  2
4106500 2388500  1  1 13  -2.9  975 249  2.9 5  2.2  72    6  138 217 -267  2
4106500 2388500  1  1 14  -2.1  975 258  3.2 6  2.1  65    2  113 221 -268  2
4106500 2388500  1  1 15  -2.1  975 258  3.2 5  2.0  61   12  108 221 -267  2
4106500 2388500  1  1 16  -2.7  975 285  2.5 6  2.1  64   12   64 220 -264  2
4106500 2388500  1  1 17  -3.8  975 262  2.1 4  2.2  71    0    7 214 -259  2
4106500 2388500  1  1 18  -4.7  975 262  1.9 3  2.3  80    0    0 203 -255  2
4106500 2388500  1  1 19  -6.1  975 258  1.6 3  2.3  88    0    0 198 -254  2
4106500 2388500  1  1 20  -5.5  975 230  2.1 2  2.3  89    0    0 194 -253  2
4106500 2388500  1  1 21  -6.2  975 221  2.7 4  2.1  84    0    0 196 -253  2
4106500 2388500  1  1 22  -7.1  973 240  2.6 5  2.1  87    0    0 202 -253  2
4106500 2388500  1  1 23  -7.4  973 224  2.5 4  2.2  94    0    0 201 -253  2
4106500 2388500  1  1 24  -6.9  973 231  2.9 6  2.1  90    0    0 201 -253  2
4106500 2388500  1  2  1  -6.9  973 243  2.9 6  1.8  77    0    0 203 -253  2
4106500 2388500  1  2  2  -6.5  972 222  2.8 5  1.7  71    0    0 201 -253  2
4106500 2388500  1  2  3  -6.3  973 235  2.9 5  1.8  73    0    0 201 -253  2
4106500 2388500  1  2  4  -6.7  973 263  2.9 7  1.8  74    0    0 206 -252  2
4106500 2388500  1  2  5  -6.7  972 258  4.2 6  1.7  71    0    0 211 -248  2
4106500 2388500  1  2  6  -6.4  973 250  3.8 7  1.7  69    0    0 216 -241  2
4106500 2388500  1  2  7  -6.2  972 264  2.8 7  1.7  70    0    0 225 -237  2
4106500 2388500  1  2  8  -5.7  971 266  3.4 6  1.7  68    0    0 227 -237  2
4106500 2388500  1  2  9  -4.8  971 248  4.1 6  1.7  62    7   14 226 -245  2
4106500 2388500  1  2 10  -4.0  972 249  4.8 6  1.7  59  106   27 230 -255  2
4106500 2388500  1  2 11  -2.8  971 278  4.6 3  1.8  59  173   46 221 -261  2
4106500 2388500  1  2 12  -1.3  972 278  4.8 1  1.9  56  246   50 203 -268  2
4106500 2388500  1  2 13  -0.2  971 290  5.3 0  1.9  51  267   54 192 -274  2
4106500 2388500  1  2 14   0.2  971 261  4.2 0  1.8  47  241   49 189 -277  2
4106500 2388500  1  2 15   0.4  970 261  4.5 1  1.9  47  132   67 195 -277  2
4106500 2388500  1  2 16  -0.5  970 262  4.4 4  1.9  50   16   54 216 -272  2
4106500 2388500  1  2 17  -1.0  970 250  3.7 6  2.0  53    0    3 240 -263  2
4106500 2388500  1  2 18  -1.0  970 255  3.0 6  2.0  55    0    0 251 -255  2
4106500 2388500  1  2 19  -1.5  970 320  2.3 8  2.1  58    0    0 260 -247  2
4106500 2388500  1  2 20  -1.7  971 306  2.5 8  2.2  63    0    0 268 -242  2
