Koordinatensystem : Lambert konform konisch
Rechtswert        : 4106500 Meter
Hochwert          : 2388500 Meter
Hoehenlage        : 520 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4106500 2388500  1  1  1   0.7  955 161  1.7 1  3.7  85    0    0 226 -317  4
4106500 2388500  1  1  2   0.0  954 150  1.6 0  3.6  88    0    0 222 -317  4
4106500 2388500  1  1  3  -0.6  955 144  1.4 0  3.6  90    0    0 219 -316  4
4106500 2388500  1  1  4  -1.0  956 171  1.2 0  3.5  93    0    0 218 -315  4
4106500 2388500  1  1  5  -1.4  955 218  1.0 0  3.5  95    0    0 216 -315  4
4106500 2388500  1  1  6  -1.9  956 336  0.8 0  3.4  96    0    0 214 -315  4
4106500 2388500  1  1  7  -2.3  956 357  0.6 1  3.4  99    0    0 218 -315  4
4106500 2388500  1  1  8  -2.5  956 125  0.9 4  3.4 100    0    0 236 -315  4
4106500 2388500  1  1  9  -2.1  956 227  0.9 4  3.4 100   10   13 251 -315  4
4106500 2388500  1  1 10  -1.1  957 164  1.2 5  3.6 100   40   63 258 -315  4
4106500 2388500  1  1 11   0.6  957 334  1.0 5  3.8  96   78  107 266 -317  4
4106500 2388500  1  1 12   2.4  957 167  1.5 4  4.0  89  136  125 264 -326  4
4106500 2388500  1  1 13   3.5  956 330  2.0 5  4.1  82   60  146 268 -336  4
4106500 2388500  1  1 14   4.1  956  33  1.3 4  4.2  80   90  132 270 -342  4
4106500 2388500  1  1 15   5.5  956  73  1.1 3  4.2  75  109   87 263 -342  4
4106500 2388500  1  1 16   4.9  956 344  1.6 3  4.2  73   34   50 258 -338  4
4106500 2388500  1  1 17   2.8  954 267  1.3 3  4.1  78    2    9 250 -331  4
4106500 2388500  1  1 18   1.0  955 116  1.0 2  4.0  86    0    0 234 -328  4
4106500 2388500  1  1 19   0.1  955 171  1.7 2  3.9  93    0    0 216 -326  4
4106500 2388500  1  1 20   0.4  954 177  1.6 3  3.9  95    0    0 210 -324  4
4106500 2388500  1  1 21   0.7  953 166  1.2 4  3.9  94    0    0 222 -324  4
4106500 2388500  1  1 22   0.1  953 148  1.3 5  3.9  95    0    0 238 -326  4
4106500 2388500  1  1 23  -0.1  952 189  1.4 6  3.9  98    0    0 252 -326  4
4106500 2388500  1  1 24  -0.4  952 189  1.6 6  3.9  99    0    0 257 -326  4
4106500 2388500  1  2  1   0.7  951 212  1.2 5  4.0  98    0    0 249 -326  4
4106500 2388500  1  2  2   0.7  951 230  1.8 6  4.1  96    0    0 250 -326  4
4106500 2388500  1  2  3   1.7  950 150  1.8 5  4.0  91    0    0 248 -327  4
4106500 2388500  1  2  4   2.3  949 185  2.5 6  4.1  87    0    0 244 -326  4
4106500 2388500  1  2  5   3.5  949 182  2.3 6  4.2  84    0    0 257 -326  4
4106500 2388500  1  2  6   3.8  948 167  1.8 7  4.2  80    0    0 272 -325  4
4106500 2388500  1  2  7   3.7  947 195  1.4 7  4.3  80    0    0 284 -324  4
4106500 2388500  1  2  8   3.4  947 258  2.1 8  4.4  83    0    0 296 -325  4
4106500 2388500  1  2  9   3.6  947 270  2.1 8  4.6  88    0    9 309 -327  4
4106500 2388500  1  2 10   4.5  947 284  2.7 7  4.8  89    2   51 299 -329  4
4106500 2388500  1  2 11   5.3  946 267  2.2 7  4.8  84    9   95 291 -332  4
4106500 2388500  1  2 12   6.8  945 165  2.2 5  4.8  77   65  148 272 -337  4
4106500 2388500  1  2 13   8.9  945 139  2.6 4  4.9  70  121  152 250 -342  4
4106500 2388500  1  2 14   9.7  943 201  2.5 5  5.0  64   44  139 263 -345  4
4106500 2388500  1  2 15   9.2  943 134  1.4 5  5.1  64   13   94 277 -344  4
4106500 2388500  1  2 16   8.5  942 127  3.2 7  5.1  67    0   35 294 -341  4
4106500 2388500  1  2 17   7.5  941 126  4.2 7  4.8  67    0    5 310 -339  4
4106500 2388500  1  2 18   6.8  941 120  3.2 7  4.7  70    0    0 307 -336  4
4106500 2388500  1  2 19   6.0  940 140  3.7 7  4.6  72    0    0 306 -334  4
