,level_0,TimeStep,heat_demand,irr,temp,wind,Occur
0,0,0,5.950767055290903,0.0,0.9981443528439589,2.2654253176470593,27
1,0,1,6.101924431722285,0.0,0.5051207670327299,1.4774512941176472,27
2,0,2,6.313544758726217,0.0,-0.18511225310299256,2.1669285647058834,27
3,0,3,6.343776234012496,0.0,-0.28371697026523834,1.6744448,27
4,0,4,6.434470659871322,0.0,-0.5795311217519767,1.6744448,27
5,0,5,6.525165085730152,0.0,-0.875345273238715,1.8714383058823534,27
6,0,6,6.4949336104438755,0.0,-0.7767405560764693,1.4774512941176472,27
7,0,7,6.585628036302703,0.0,-1.0725547075632076,1.6744448,27
8,0,8,6.4949336104438755,50.85285016899056,-0.7767405560764693,1.8714383058823534,27
9,0,9,6.101924431722285,175.7739821058587,0.5051207670327299,2.1669285647058834,27
10,0,10,5.67868377771442,279.6906759294481,1.885586807304173,2.856405835294118,27
11,0,11,5.194980173134002,347.1259772405008,3.4632622819001084,2.9549025882352944,27
12,0,12,4.892665420271242,364.81392512536706,4.44930945352257,2.856405835294118,27
13,0,13,4.650813617981032,329.4380293556345,5.238147190820539,2.7579090823529415,27
14,0,14,4.560119192122206,246.5257736453238,5.533961342307274,2.6594123294117655,27
15,0,15,4.590350667408482,131.55411239369298,5.4353566251450305,2.1669285647058834,27
16,0,16,4.862433944984966,22.10993485608285,4.547914170684816,2.363922070588236,27
17,0,17,5.4368319754242105,0.0,2.6744245446021413,2.068431811764706,27
18,0,18,5.860072629432079,0.0,1.2939585043306971,2.068431811764706,27
19,0,19,5.8903041047183535,0.0,1.1953537871684505,1.6744448,27
20,0,20,5.860072629432079,0.0,1.2939585043306971,1.4774512941176472,27
21,0,21,6.101924431722285,0.0,0.5051207670327299,1.6744448,27
22,0,22,6.132155907008562,0.0,0.4065160498704832,1.181961035294118,27
23,0,23,6.253081808153667,0.0,0.012097181221498011,0.9849675294117648,27
24,1,0,0.0,0.0,29.49490761273306,2.1669285647058834,56
