Koordinatensystem : Lambert konform konisch
Rechtswert        : 3917500 Meter
Hochwert          : 2771500 Meter
Hoehenlage        : 114 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3917500 2771500  1  1  1   3.5 1009 185  3.1 8  4.3  87    0    0 308 -329  3
3917500 2771500  1  1  2   2.7 1009 177  2.6 8  4.0  86    0    0 314 -329  3
3917500 2771500  1  1  3   2.3 1010 169  2.3 8  3.8  86    0    0 320 -329  3
3917500 2771500  1  1  4   2.5 1010 176  2.6 8  3.9  86    0    0 322 -330  3
3917500 2771500  1  1  5   2.8 1009 176  2.8 8  3.9  85    0    0 318 -331  3
3917500 2771500  1  1  6   3.1 1009 210  3.8 8  4.0  85    0    0 319 -333  3
3917500 2771500  1  1  7   3.4 1009 175  3.0 8  4.0  84    0    0 327 -335  3
3917500 2771500  1  1  8   3.4 1009 185  4.0 8  4.0  83    0    0 328 -337  3
3917500 2771500  1  1  9   3.6 1009 194  4.1 8  4.1  84    0    1 329 -339  3
3917500 2771500  1  1 10   3.7 1009 201  4.0 8  4.2  85    0   29 330 -340  3
3917500 2771500  1  1 11   3.9 1009 226  4.0 7  4.3  87    0   40 325 -341  3
3917500 2771500  1  1 12   3.8 1009 193  3.7 6  4.5  91    0   42 314 -342  3
3917500 2771500  1  1 13   4.2 1009 235  3.4 8  4.7  94    0   29 322 -342  3
3917500 2771500  1  1 14   4.6 1008 242  3.9 8  4.9  94    0   25 336 -343  3
3917500 2771500  1  1 15   4.9 1008 259  3.7 8  5.0  94    0   16 338 -344  3
3917500 2771500  1  1 16   5.1 1008 297  3.2 7  5.2  95    0    4 332 -344  3
3917500 2771500  1  1 17   5.5 1009 300  3.7 6  5.3  95    0    0 320 -345  3
3917500 2771500  1  1 18   5.6 1010 297  3.2 7  5.3  94    0    0 320 -344  3
3917500 2771500  1  1 19   5.4 1010 285  2.7 7  5.3  94    0    0 324 -344  3
3917500 2771500  1  1 20   5.2 1011 304  2.8 7  5.3  95    0    0 323 -343  3
3917500 2771500  1  1 21   5.0 1011 310  2.5 3  5.1  94    0    0 295 -341  3
3917500 2771500  1  1 22   4.8 1012 308  2.8 5  5.1  95    0    0 280 -339  3
3917500 2771500  1  1 23   4.8 1013 324  2.1 7  5.2  97    0    0 303 -337  3
3917500 2771500  1  1 24   4.7 1013 295  2.0 3  5.1  95    0    0 287 -335  3
3917500 2771500  1  2  1   4.1 1014 273  2.2 7  4.9  94    0    0 283 -334  3
3917500 2771500  1  2  2   3.9 1014 253  2.1 6  4.8  96    0    0 297 -333  3
3917500 2771500  1  2  3   3.4 1014 249  1.1 7  4.7  96    0    0 293 -333  3
3917500 2771500  1  2  4   3.3 1014 208  1.3 6  4.6  96    0    0 289 -333  3
3917500 2771500  1  2  5   3.2 1014 188  0.7 7  4.6  95    0    0 288 -333  3
3917500 2771500  1  2  6   3.3 1014 204  0.5 8  4.6  96    0    0 299 -332  3
3917500 2771500  1  2  7   3.4 1015 201  0.8 8  4.6  96    0    0 306 -333  3
3917500 2771500  1  2  8   3.7 1015 208  0.5 6  4.7  95    0    0 294 -333  3
3917500 2771500  1  2  9   3.7 1015 186  1.4 8  4.7  94    0    0 296 -333  3
3917500 2771500  1  2 10   4.1 1015 187  2.0 8  4.7  94    0   29 312 -333  3
3917500 2771500  1  2 11   4.8 1016 210  2.2 7  4.7  90    7   68 308 -334  3
3917500 2771500  1  2 12   5.4 1016 236  2.9 7  4.7  86    0   68 304 -335  3
3917500 2771500  1  2 13   6.0 1016 233  3.8 6  4.7  82   33  118 298 -337  3
3917500 2771500  1  2 14   6.8 1015 226  3.7 4  4.7  79   53  110 283 -337  3
3917500 2771500  1  2 15   7.2 1015 237  3.0 6  4.9  78   22   79 288 -337  3
3917500 2771500  1  2 16   7.2 1015 196  2.7 6  4.9  78    0   19 303 -335  3
3917500 2771500  1  2 17   6.5 1015 189  2.6 7  4.8  79    0    0 309 -332  3
