Koordinatensystem : Lambert konform konisch
Rechtswert        : 3940500 Meter
Hochwert          : 2453500 Meter
Hoehenlage        : 285 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3940500 2453500  1  1  1   6.3  980 195  2.4 6  5.7  91    0    0 283 -325  2
3940500 2453500  1  1  2   5.0  980 186  2.1 5  5.2  90    0    0 280 -325  2
3940500 2453500  1  1  3   3.9  981 173  1.7 4  4.7  88    0    0 282 -326  2
3940500 2453500  1  1  4   3.3  981 171  1.5 3  4.5  88    0    0 274 -325  2
3940500 2453500  1  1  5   2.9  982 177  1.6 2  4.2  86    0    0 255 -325  2
3940500 2453500  1  1  6   2.6  982 179  1.0 2  4.0  85    0    0 249 -324  2
3940500 2453500  1  1  7   1.8  982 228  2.4 1  3.9  86    0    0 241 -322  2
3940500 2453500  1  1  8   2.7  982 191  2.1 6  3.9  85    0    0 260 -320  2
3940500 2453500  1  1  9   1.0  983 270  1.2 7  3.9  87    0    5 289 -320  2
3940500 2453500  1  1 10   1.8  983 166  2.4 7  4.0  93   12   69 294 -321  2
3940500 2453500  1  1 11   3.3  983  77  0.8 8  4.3  91   13  109 301 -327  2
3940500 2453500  1  1 12   4.8  983  93  0.9 7  4.7  89   10  127 305 -335  2
3940500 2453500  1  1 13   6.6  983  83  2.3 6  5.3  90   58  183 301 -343  2
3940500 2453500  1  1 14   9.0  983 340  1.2 6  5.8  85   68  173 303 -349  2
3940500 2453500  1  1 15   9.1  982  75  2.7 5  5.8  78   29  119 302 -350  2
3940500 2453500  1  1 16   8.9  981 116  2.6 6  5.8  78    7   56 301 -349  2
3940500 2453500  1  1 17   7.0  981  93  0.8 6  5.6  81    0    7 301 -343  2
3940500 2453500  1  1 18   6.1  981 144  0.7 6  5.2  84    0    0 294 -337  2
3940500 2453500  1  1 19   5.9  980 223  2.7 6  5.2  86    0    0 289 -333  2
3940500 2453500  1  1 20   6.1  979 171  0.9 7  5.1  85    0    0 290 -331  2
3940500 2453500  1  1 21   6.3  979 249  1.5 8  5.2  85    0    0 302 -331  2
3940500 2453500  1  1 22   6.5  979 182  2.4 7  5.2  84    0    0 303 -333  2
3940500 2453500  1  1 23   5.8  979  81  0.7 7  5.2  85    0    0 295 -334  2
3940500 2453500  1  1 24   6.4  978 167  0.9 7  5.3  87    0    0 294 -335  2
3940500 2453500  1  2  1   6.7  977 200  2.8 7  5.5  87    0    0 297 -337  2
3940500 2453500  1  2  2   6.2  976 198  2.4 7  5.5  88    0    0 299 -337  2
3940500 2453500  1  2  3   7.7  975 207  1.6 7  5.4  84    0    0 301 -338  2
3940500 2453500  1  2  4   8.4  974 206  4.5 8  5.6  81    0    0 315 -339  2
3940500 2453500  1  2  5   8.1  973 223  2.6 8  5.8  82    0    0 328 -341  2
3940500 2453500  1  2  6   7.8  972 214  5.4 8  5.9  84    0    0 327 -343  2
3940500 2453500  1  2  7   8.0  971 205  6.6 7  5.9  86    0    0 315 -345  2
3940500 2453500  1  2  8   7.5  971 199  4.6 7  6.0  87    0    0 303 -345  2
3940500 2453500  1  2  9   7.7  970 213  3.3 7  6.0  88    0    1 302 -343  2
3940500 2453500  1  2 10   7.3  970 173  2.5 8  6.0  89    0   23 316 -342  2
3940500 2453500  1  2 11   8.8  969 192  2.8 6  6.1  88   23   84 308 -343  2
3940500 2453500  1  2 12   9.2  969 200  3.8 5  6.2  84   32  107 278 -346  2
3940500 2453500  1  2 13   9.2  968 208  5.5 6  6.1  81    5  102 284 -349  2
3940500 2453500  1  2 14   9.6  967 199  3.3 7  5.9  77    0   79 309 -351  2
3940500 2453500  1  2 15  10.2  965 153  3.4 7  5.7  72    0   59 321 -352  2
3940500 2453500  1  2 16  10.1  965 159  3.7 7  5.6  70    7   37 322 -351  2
3940500 2453500  1  2 17  10.8  964 196  5.3 6  5.6  68    0    4 317 -349  2
3940500 2453500  1  2 18   9.8  964 203  5.0 6  5.6  68    0    0 310 -346  2
3940500 2453500  1  2 19   9.5  964 211  4.8 6  5.6  72    0    0 308 -345  2
