Variable,Value
operation_cost,3232.548878890936
total_revenue,1222.431327659026
other_op_cost,0.0
invest_chp,9302.068401515551
invest_pv,3599.9999999999995
invest_water_tes,1576.0
annuity_chp,1863.6577139923475
annuity_pv,453.0718568275064
annuity_water_tes,198.34479065559728
annual_cost,3164.524303238287
original_annual_Cost,4525.191912707362
difference,1360.6676094690747
