State,City,Component,User,Building Type,Size Lower,Size Upper,Coefficient,Constant
Bayern,Erlangen,Battery,None,None,7,inf,0,1050
Bayern,Wuerzburg,PV,None,None,0,0.6,0,200
Bayern,Wuerzburg,PV,None,None,0,10,150,0
Bayern,Wuerzburg,PV,None,None,10,inf,0,1500
Bayern,Schweinfurt,PV,None,None,0,10,100,0
Bayern,Schweinfurt,PV,None,None,10,inf,0,1000
Bayern,Schweinfurt,Battery,None,None,0,3,300,0
Bayern,Schweinfurt,Battery,None,None,3,inf,0,1000
Bayern,Fuerth,CHP,None,None,0,inf,0,1000
Bayern,Fuerth,FuelCells,None,None,0,inf,0,1000
Bayern,Fuerth,SolarThermalCollector,None,None,0,inf,50,0
Bayern,Fuerth,PV,None,None,0,0.6,0,100
Bayern,Fuerth,PV,None,None,0.6,30,50,0
Bayern,Fuerth,PV,None,None,30,inf,0,1500
Bayern,Fuerth,Battery,None,None,0,inf,0,500
Bayern,Fuerth,HeatPump,None,None,0,inf,0,1000
Bayern,Coburg,PV,None,None,0,0.3,0,0
Bayern,Coburg,PV,None,None,0.3,0.6,0,250
Bayern,Coburg,Battery,None,None,0,5,0,0
Bayern,Coburg,Battery,None,None,5,inf,0,2375
Bayern,Weiden in der Oberpfalz,PV,None,None,0,0.6,0,100
Berlin,Berlin,Battery,None,None,0,50,300,0
Berlin,Berlin,Battery,None,None,50,inf,0,15000
Berlin,Berlin,PV,None,None,0,0.6,0,500
Brandenburg,Potsdam,PV,None,None,0,0.6,0,250
Brandenburg,Potsdam,PV,None,None,0.6,6,200,0
Brandenburg,Potsdam,PV,None,None,6,inf,0,1200
Brandenburg,Potsdam,HeatPump,None,Wohngebaeude,0,inf,0,1000
Brandenburg,Potsdam,Battery,None,None,0,2,0,0
Brandenburg,Potsdam,Battery,None,None,2,inf,0,1000
Hamburg,Hamburg,SolarThermalCollector,None,None,0,20,0,0
Hamburg,Hamburg,SolarThermalCollector,None,None,20,200,100,0
Hamburg,Hamburg,HeatPump,None,None,0,42,100,0
Hamburg,Hamburg,HeatPump,None,None,42,inf,0,4200
Hamburg,Hamburg,HeatPump,None,None,0,40,75,0
Hamburg,Hamburg,HeatPump,None,None,40,inf,0,3000
Hessen,Wiesbaden,PV,None,None,0,3,0,300
Hessen,Wiesbaden,PV,None,None,3,6,0,400
Hessen,Wiesbaden,PV,None,None,6,inf,0,500
Hessen,Wiesbaden,Battery,None,None,0,3,0,500
Hessen,Wiesbaden,Battery,None,None,3,6,0,750
Hessen,Wiesbaden,Battery,None,None,6,inf,0,1000
Hessen,Darmstadt,PV,None,None,0,0.2,0,0
Hessen,Darmstadt,PV,None,None,0.2,0.45,0,200
Hessen,Darmstadt,PV,None,None,0.45,0.6,0,400
Hessen,Darmstadt,PV,None,None,0.6,30,200,0
Hessen,Darmstadt,PV,None,None,30,inf,0,6000
Niedersachsen,Hannover,PV,None,None,0,2,0,0
Niedersachsen,Hannover,PV,None,None,2,30,100,0
Niedersachsen,Hannover,PV,None,None,30,inf,0,3000
