name,year,level,type,apply,user,building,mode,Invest Coefficient,Invest Constant,Size Lower,Size Upper,Size Coefficient,Size Constant,Area Lower,Area Upper,Area Coefficient,Area Constant
KWKG,2023,country,operate,CHP,basic,all,basic + feed-in,,,50,100,0.06,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + feed-in,,,100,250,0.05,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + feed-in,,,250,2000,0.044,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + feed-in,,,2000,inf,0.031,0,,,,
KWKG,2023,country,operate,CHP,basic,all,new chp plants + feed-in,,,0,50,0.16,0,,,,
KWKG,2023,country,operate,CHP,basic,all,new chp plants + feed-in,,,50,inf,0,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + not feed-in_up to 100kW,,,0,50,0.04,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + not feed-in_up to 100kW,,,50,100,0.03,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + not feed-in_up to 100kW,,,100,inf,0,0,,,,
KWKG,2023,country,operate,CHP,basic,all,new chp plants + not feed-in_up to 100kW,,,0,50,0.08,0,,,,
KWKG,2023,country,operate,CHP,basic,all,new chp plants + not feed-in_up to 100kW,,,50,inf,0,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + not feed-in_customer installations,,,0,50,0.04,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + not feed-in_customer installations,,,50,100,0.03,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + not feed-in_customer installations,,,100,250,0.02,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + not feed-in_customer installations,,,250,2000,0.015,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + not feed-in_customer installations,,,2000,inf,0.01,0,,,,
KWKG,2023,country,operate,CHP,basic,all,new chp plants + not feed-in_customer intallations,,,0,50,0.08,0,,,,
KWKG,2023,country,operate,CHP,basic,all,new chp plants + not feed-in_customer intallations,,,50,inf,0,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + not feed-in_electricity-intensive company,,,0,50,0.0541,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + not feed-in_electricity-intensive company,,,50,250,0.04,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + not feed-in_electricity-intensive company,,,250,2000,0.024,0,,,,
KWKG,2023,country,operate,CHP,basic,all,basic + not feed-in_electricity-intensive company,,,2000,inf,0.018,0,,,,
KWKG,2023,country,operate,CHP,basic,all,new chp plants + not feed-in_electricity-intensive company,,,0,50,0.08,0,,,,
KWKG,2023,country,operate,CHP,basic,all,new chp plants + not feed-in_electricity-intensive company,,,50,inf,0,0,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,Battery,basic,all,,0.5,0,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,Battery,basic,all,,0,750,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,HeatPumpAirWater,basic,all,,0.35,0,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,HeatPumpAirWater,basic,all,,0,2000,,,,,,,,
Schleswig-Holstein_Subsidy,2023,state,purchase,HeatPumpBrineWater,basic,all,,0.3,0,,,,,,,,
