name,year,level,apply,who,building,Invest Lower,Invest Upper,Invest Coefficient,Invest Constant,Size Lower,Size Upper,Size Coefficient,Size Constant,Area Lower,Area Upper,Area Coefficient,Area Constant,Demand Coefficient,Demand Constant
Ludwigsburg_Subsidy,2023,city,SolarThermalCollector,basic,all,,,,,,,,,10,inf,0,1500,,
Ludwigsburg_Subsidy,2023,city,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,,0,10,150,0,,
Ludwigsburg_Subsidy,2023,city,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,,10,inf,0,1500,,
Ludwigsburg_Subsidy,2023,city,SolarThermalCollectorTube,basic,all,,,,,,,,,0,10,150,0,,
Ludwigsburg_Subsidy,2023,city,SolarThermalCollectorTube,basic,all,,,,,,,,,10,inf,0,1500,,
Tuebingen_Subsidy,2023,city,PV,premium_SWT,all,,,,,0,1,0,0,,,,,,
Tuebingen_Subsidy,2023,city,PV,premium_SWT,all,,,,,1,5,0,1500,,,,,,
Tuebingen_Subsidy,2023,city,PV,premium_SWT,all,,,,,5,9,0,2250,,,,,,
Tuebingen_Subsidy,2023,city,PV,premium_SWT,all,,,,,9,inf,0,3000,,,,,,
Tuebingen_Subsidy,2023,city,Battery,premium_SWT,all,,,,,0,1,0,0,,,,,,
Tuebingen_Subsidy,2023,city,Battery,premium_SWT,all,,,,,1,20,250,0,,,,,,
Tuebingen_Subsidy,2023,city,Battery,premium_SWT,all,,,,,20,inf,0,4750,,,,,,
Tuebingen_Subsidy,2023,city,CHP,premium_SWT,all,,,,,0,5,0,500,,,,,,
Tuebingen_Subsidy,2023,city,CHP,premium_SWT,all,,,,,5,15,100,500,,,,,,
Tuebingen_Subsidy,2023,city,CHP,premium_SWT,all,,,,,15,inf,0,1500,,,,,,
Muenhen_Subsidy,2023,city,PV,basic,EFH;ZFH;MFH,,,,,0,0.6,400,0,,,,,,
Muenhen_Subsidy,2023,city,PV,basic,EFH;ZFH;MFH,,,,,0.6,40,282,1500,,,,,,
Muenhen_Subsidy,2023,city,PV,basic,EFH;ZFH;MFH,,,,,40,100,282,3500,,,,,,
Muenhen_Subsidy,2023,city,PV,basic,EFH;ZFH;MFH,,,,,100,inf,282,9500,,,,,,
Muenhen_Subsidy,2023,city,PV,basic,NWG,,,,,0,0.6,400,0,,,,,,
Muenhen_Subsidy,2023,city,PV,basic,NWG,,,,,0.6,40,188,1500,,,,,,
Muenhen_Subsidy,2023,city,PV,basic,NWG,,,,,40,100,188,3500,,,,,,
