State,City,Component,User,Building Type,Size Lower,Size Upper,Size Coefficient,Size Constant,Invest Lower,Invest Upper,Invest Coefficient,Invest Constant,Area Lower,Area Upper,Area Coefficient,Area Constant
Baden-Wuerttemberg,Ludwigsburg,SolarThermalCollectorFlatPlate,None,Allgemein,,,,,,,,,0,10,150,0
Baden-Wuerttemberg,Ludwigsburg,SolarThermalCollectorFlatPlate,None,Allgemein,,,,,,,,,10,inf,0,1500
Baden-Wuerttemberg,Ludwigsburg,SolarThermalCollectorTube,None,Allgemein,,,,,,,,,0,10,150,0
Baden-Wuerttemberg,Ludwigsburg,SolarThermalCollectorTube,None,Allgemein,,,,,,,,,10,inf,0,1500
Baden-Wuerttemberg,Tuebingen,PV,Stadtwerke Tuebingen,Allgemein,0,1,0,0,,,,,,,,
Baden-Wuerttemberg,Tuebingen,PV,Stadtwerke Tuebingen,Allgemein,1,5,0,1500,,,,,,,,
Baden-Wuerttemberg,Tuebingen,PV,Stadtwerke Tuebingen,Allgemein,5,9,0,2250,,,,,,,,
Baden-Wuerttemberg,Tuebingen,PV,Stadtwerke Tuebingen,Allgemein,9,inf,0,3000,,,,,,,,
Baden-Wuerttemberg,Tuebingen,Battery,Stadtwerke Tuebingen,Allgemein,0,1,0,0,,,,,,,,
Baden-Wuerttemberg,Tuebingen,Battery,Stadtwerke Tuebingen,Allgemein,1,20,250,0,,,,,,,,
Baden-Wuerttemberg,Tuebingen,Battery,Stadtwerke Tuebingen,Allgemein,20,inf,0,4750,,,,,,,,
Baden-Wuerttemberg,Tuebingen,CHP,Stadtwerke Tuebingen,Allgemein,0,5,0,500,,,,,,,,
Baden-Wuerttemberg,Tuebingen,CHP,Stadtwerke Tuebingen,Allgemein,5,15,100,500,,,,,,,,
Baden-Wuerttemberg,Tuebingen,CHP,Stadtwerke Tuebingen,Allgemein,15,inf,0,1500,,,,,,,,
Bayern,Muenchen,PV,None,EFH;ZFH;MFH,0,0.6,400,0,,,,,,,,
Bayern,Muenchen,PV,None,EFH;ZFH;MFH,0.6,40,282,1500,,,,,,,,
Bayern,Muenchen,PV,None,EFH;ZFH;MFH,40,100,282,3500,,,,,,,,
Bayern,Muenchen,PV,None,EFH;ZFH;MFH,100,inf,282,9500,,,,,,,,
Bayern,Muenchen,PV,None,NWG,0,0.6,400,0,,,,,,,,
Bayern,Muenchen,PV,None,NWG,0.6,40,188,1500,,,,,,,,
Bayern,Muenchen,PV,None,NWG,40,100,188,3500,,,,,,,,
Bayern,Muenchen,PV,None,NWG,100,inf,94,18900,,,,,,,,
Bayern,Muenchen,SolarThermalCollector,None,EFH;ZFH;MFH,,,,,0,inf,0.15,0,,,,
Bayern,Muenchen,SolarThermalCollectorFlatPlate,None,EFH;ZFH;MFH,,,,,0,inf,0.15,0,,,,
Bayern,Muenchen,SolarThermalCollectorTube,None,EFH;ZFH;MFH,,,,,0,inf,0.15,0,,,,
Bayern,Muenchen,SolarThermalCollector,None,NWG,,,,,0,inf,0.15,0,,,,
Bayern,Muenchen,SolarThermalCollectorFlatPlate,None,NWG,,,,,0,inf,0.15,0,,,,
Bayern,Muenchen,SolarThermalCollectorTube,None,NWG,,,,,0,inf,0.15,0,,,,
Bayern,Muenchen,HeatPump,None,EFH;ZFH;MFH,,,,,0,inf,0.15,0,,,,
Bayern,Muenchen,HeatPumpAirWater,None,EFH;ZFH;MFH,,,,,0,inf,0.15,0,,,,
