Koordinatensystem : Lambert konform konisch
Rechtswert        : 4056500 Meter
Hochwert          : 3046500 Meter
Hoehenlage        : 3 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4056500 3046500  1  1  1  -4.6 1019 118  2.5 2  2.2  81    0    0 206 -286  0
4056500 3046500  1  1  2  -5.2 1019 143  3.0 2  2.0  79    0    0 211 -286  0
4056500 3046500  1  1  3  -5.7 1019 160  3.5 1  1.9  78    0    0 211 -285  0
4056500 3046500  1  1  4  -5.9 1018 160  3.8 0  1.9  79    0    0 199 -284  0
4056500 3046500  1  1  5  -6.2 1017 162  4.2 0  1.9  79    0    0 191 -283  0
4056500 3046500  1  1  6  -6.4 1016 168  4.5 0  1.9  79    0    0 189 -283  0
4056500 3046500  1  1  7  -6.8 1015 171  5.3 0  1.9  81    0    0 186 -282  0
4056500 3046500  1  1  8  -7.0 1014 181  4.7 3  1.9  84    0    0 203 -282  0
4056500 3046500  1  1  9  -7.3 1013 193  4.3 4  1.9  87    0    0 225 -282  0
4056500 3046500  1  1 10  -6.9 1012 175  3.8 6  1.9  88    0   18 244 -283  0
4056500 3046500  1  1 11  -6.7 1011 189  3.2 7  2.0  88    0   24 263 -286  0
4056500 3046500  1  1 12  -6.3 1010 189  2.7 7  2.1  89    6   67 271 -290  0
4056500 3046500  1  1 13  -5.5 1009 174  3.2 7  2.2  90    3   74 273 -295  0
4056500 3046500  1  1 14  -5.0 1008 165  3.6 7  2.3  90    0   53 272 -297  0
4056500 3046500  1  1 15  -4.6 1006 163  3.4 6  2.4  90   20   47 261 -297  0
4056500 3046500  1  1 16  -4.2 1005 159  4.3 8  2.5  90    0   12 268 -296  0
4056500 3046500  1  1 17  -4.0 1003 150  4.4 8  2.5  90    0    0 282 -296  0
4056500 3046500  1  1 18  -3.5 1001 157  4.9 8  2.6  89    0    0 284 -298  0
4056500 3046500  1  1 19  -3.1 1000 137  5.2 7  2.7  89    0    0 281 -300  0
4056500 3046500  1  1 20  -2.9  998 134  5.0 8  2.8  90    0    0 284 -301  0
4056500 3046500  1  1 21  -2.7  997 121  4.5 8  2.9  92    0    0 293 -303  0
4056500 3046500  1  1 22  -2.6  995 120  5.1 8  3.0  95    0    0 294 -305  0
4056500 3046500  1  1 23  -2.3  993 118  5.0 8  3.0  95    0    0 297 -306  0
4056500 3046500  1  1 24  -2.0  991 120  6.3 8  3.1  95    0    0 301 -308  0
4056500 3046500  1  2  1  -1.6  990 103  4.7 8  3.3  98    0    0 306 -309  0
4056500 3046500  1  2  2  -1.0  988  90  3.5 8  3.5 100    0    0 308 -311  0
4056500 3046500  1  2  3  -0.6  987  87  4.2 8  3.6  99    0    0 309 -314  0
4056500 3046500  1  2  4  -0.5  987  74  4.3 8  3.7  98    0    0 310 -316  0
4056500 3046500  1  2  5  -0.5  986  59  2.6 8  3.7  98    0    0 312 -316  0
4056500 3046500  1  2  6  -0.3  986  18  2.9 8  3.7  98    0    0 313 -316  0
4056500 3046500  1  2  7   0.0  986 351  2.7 7  3.7  97    0    0 307 -316  0
4056500 3046500  1  2  8  -0.4  987   9  2.5 8  3.7  96    0    0 306 -316  0
4056500 3046500  1  2  9  -0.4  988 350  1.9 8  3.7  97    0    0 314 -317  0
4056500 3046500  1  2 10  -0.4  989 355  1.9 8  3.7  98    0   15 314 -317  0
4056500 3046500  1  2 11  -0.3  989  63  1.9 8  3.7  98    0   29 313 -317  0
4056500 3046500  1  2 12  -0.2  989  60  1.6 8  3.7  98    0   39 314 -317  0
4056500 3046500  1  2 13  -0.2  989  53  2.3 8  3.8  98    0   52 312 -318  0
4056500 3046500  1  2 14  -0.1  988  73  2.7 8  3.8  98    0   46 311 -319  0
4056500 3046500  1  2 15   0.1  987  90  4.3 8  3.8  98    0   22 311 -319  0
4056500 3046500  1  2 16   0.2  986  85  6.0 8  3.8  97    0    4 310 -319  0
4056500 3046500  1  2 17   0.3  986  85  6.7 8  3.8  96    0    0 310 -319  0
4056500 3046500  1  2 18   0.4  985  82  6.9 8  3.8  95    0    0 310 -319  0
4056500 3046500  1  2 19   0.3  985  84  6.9 8  3.8  96    0    0 311 -318  0
4056500 3046500  1  2 20   0.4  985  85  7.1 8  3.8  96    0    0 313 -318  0
4056500 3046500  1  2 21   0.5  985  88  6.9 8  3.8  95    0    0 313 -318  0
4056500 3046500  1  2 22   0.4  985  83  7.8 8  3.9  96    0    0 314 -318  0
4056500 3046500  1  2 23   0.5  985  81  7.6 8  3.9  96    0    0 315 -318  0
