comp_name,comp_type,model,min_size,max_size,current_size,therm_cns,under_heat,gas_grid,boi
heat_grid,HeatGrid,HG1,10,10,0,0,0,0,0
under_heat,UnderfloorHeat,UFH1,1,100,0,80,0,0,0
gas_grid,GasGrid,GAS1,10,10,0,0,0,0,50
boi,GasBoiler,BOI1,0,2,0,0,100,0,0
