comp_name,comp_type,model,min_size,max_size,current_size,therm_cns,water_tes,e_grid,heat_pump
therm_cns,HeatConsumption,HeatCNS1,1,100,0,0,0,0,0
water_tes,HotWaterStorage,TES1,1,100,0,300,0,0,0
e_grid,ElectricityGrid,GRD1,0,100,0,0,0,0,1
heat_pump,AirHeatPumpFluid,EHP1,0,100,0,0,300,0,0
