comp_name,comp_type,model,min_size,max_size,current_size,solar_coll,water_tes,hw_cns,tp_val
solar_coll,SolarThermalCollectorFluid,FPC,50,50,0,0,200,0,0
water_tes,HomoStorageST,TES_homo_ST,5,5,0,0,0,0,
hw_cns,HotWaterConsumptionFluid,HWCNS,20,20,0,0,0,0,0
tp_val,ThreePortValve,3WV,0,1000,0,0,0,,0
