comp_name,comp_type,model,min_size,max_size,current_size,therm_cns,water_tes,gas_grid,chp,e_grid,tp_val_therm,e_cns,hw_cns,tp_val_hw,boi,tp_val_boi
therm_cns,HeatConsumptionFluid,HeatCNS,0,100,0,0,0,0,0,0,0,0,0,0,0,0
water_tes,HomoStorage,TES_homo,0,100,0,0,0,0,0,0,,0,0,,0,0
gas_grid,GasGrid,GAS1,0,1000,0,0,0,0,,0,0,0,0,0,,0
chp,CHPFluidBig,CHPFluidBig,50,50,0,0,4000,0,0,,0,,0,0,0,0
e_grid,ElectricityGrid,GRD1,0,100,0,0,0,0,0,0,0,,0,0,0,0
tp_val_therm,ThreePortValve,,,,0,,0,0,0,0,0,0,0,0,0,0
e_cns,ElectricalConsumption,CNS1,0,100,0,0,0,0,0,0,0,0,0,0,0,0
hw_cns,HotWaterConsumptionFluid,HWCNS,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
tp_val_hw,ThreePortValve,,,,0,0,0,0,0,0,0,0,,0,0,0
boi,StandardBoiler,BOI_district,100,100,0,0,0,0,0,0,0,0,0,0,0,
tp_val_boi,ThreePortValve,,,,0,,0,0,0,0,0,0,0,0,0,0
